Temperature_K,Total_pressure_bar,Partial_pressure_CH4_bar,Partial_pressure_N2_bar,CH4_loading_mmol_g,N2_loading_mmol_g,CH4_N2_selectivity
273,0.01,0.005,0.005,0.009277129796861199,0.006345375346027208,1.4620301071188075
273,0.02,0.01,0.01,0.018750961256761043,0.008192465368343225,2.2888056785955118
273,0.03,0.015,0.015,0.029831403626319385,0.009865973518169402,3.0236654873825874
273,0.04,0.02,0.02,0.04147833748652279,0.011473069084546504,3.6152782817625915
273,0.05,0.025,0.025,0.05265395610134797,0.012822011414107588,4.106528562547898
273,0.060000000000000005,0.030000000000000002,0.030000000000000002,0.0650017150071907,0.014407081924761544,4.511789087245477
273,0.06999999999999999,0.034999999999999996,0.034999999999999996,0.07854022568454665,0.016391354441314235,4.791564111784859
273,0.08,0.04,0.04,0.0907817801047966,0.018385913838056038,4.937572366780712
273,0.09,0.045,0.045,0.10227079885076591,0.020230829137405305,5.0551956203156685
273,0.09999999999999999,0.049999999999999996,0.049999999999999996,0.11372480994947233,0.022064174991483654,5.154274292755923
273,0.11,0.055,0.055,0.12336103301328184,0.02347440137456584,5.2551300902157045
273,0.12,0.06,0.06,0.1348701324413724,0.025125984673930207,5.367755102601358
273,0.13,0.065,0.065,0.1467213891101181,0.02687075119415359,5.460263765980648
273,0.14,0.07,0.07,0.15746931892041935,0.028431830739063482,5.538486788473553
273,0.15000000000000002,0.07500000000000001,0.07500000000000001,0.16959980401417907,0.03019699108168566,5.616447133934499
273,0.16,0.08,0.08,0.17946597840252237,0.031578612617478116,5.683149560002887
273,0.17,0.085,0.085,0.18954191476709686,0.03294306594568375,5.75362096168013
273,0.18000000000000002,0.09000000000000001,0.09000000000000001,0.20087735541130128,0.034475173618083055,5.826724982929058
273,0.19,0.095,0.095,0.21086456848324237,0.0357733336029343,5.894462361929453
273,0.2,0.1,0.1,0.2219131519714473,0.03720526177252116,5.964563650385241
273,0.21000000000000002,0.10500000000000001,0.10500000000000001,0.2319568485831229,0.03846682131502523,6.030049810549851
273,0.22,0.11,0.11,0.24080715943074127,0.039439922426428804,6.105670209669979
273,0.23,0.115,0.115,0.25136827723107574,0.040633902325722095,6.186171222643178
273,0.24000000000000002,0.12000000000000001,0.12000000000000001,0.2602856225684785,0.041512270460573215,6.270088811829455
273,0.25,0.125,0.125,0.2706686405155778,0.042597154286373194,6.354148417894774
273,0.26,0.13,0.13,0.28200793923899203,0.04384351579975833,6.432147014098411
273,0.27,0.135,0.135,0.2909026742573427,0.04463319787836233,6.517630106857502
273,0.28,0.14,0.14,0.3003359395875195,0.04548929289252036,6.602343551418507
273,0.29000000000000004,0.14500000000000002,0.14500000000000002,0.308940349278634,0.04615098591338642,6.6941224150321705
273,0.3,0.15,0.15,0.31749746761829145,0.04673789033457246,6.79314931301971
273,0.31,0.155,0.155,0.32601431024196276,0.04725426624047429,6.8991508318612835
273,0.32,0.16,0.16,0.33449724375223655,0.047704183705982894,7.011905828089562
273,0.33,0.165,0.165,0.34295204119678496,0.048091515880776765,7.131237909967201
273,0.34,0.17,0.17,0.35138393376249666,0.04841993720838666,7.2570092821523655
273,0.35000000000000003,0.17500000000000002,0.17500000000000002,0.35979765851113543,0.04869292539017904,7.389115680112816
273,0.36000000000000004,0.18000000000000002,0.18000000000000002,0.3681975021623514,0.04891376602028123,7.52748218179898
273,0.37,0.185,0.185,0.37658734104762764,0.049085559067065555,7.672059730094888
273,0.38,0.19,0.19,0.38497067743169877,0.04921122657295454,7.822822234698588
273,0.39,0.195,0.195,0.3933506724394024,0.04929352109771337,7.979764149119572
273,0.4,0.2,0.2,0.40173017584546933,0.04933503454982951,8.142898439438868
273,0.41000000000000003,0.20500000000000002,0.20500000000000002,0.41011175298946956,0.04933820714317049,8.312254877835345
273,0.42000000000000004,0.21000000000000002,0.21000000000000002,0.41849770907305905,0.04930533628757202,8.487878606733005
273,0.43,0.215,0.215,0.4268901110854073,0.04923858527690658,8.669828929581843
273,0.44,0.22,0.22,0.43529080758777167,0.04913999168012862,8.858178292362144
273,0.45,0.225,0.225,0.44370144657136945,0.049011475372664495,9.05301142635747
273,0.46,0.23,0.23,0.4521234915852109,0.04885484616953052,9.254424627933604
273,0.47000000000000003,0.23500000000000001,0.23500000000000001,0.4605582363131365,0.048671811039532886,9.46252515524963
273,0.48000000000000004,0.24000000000000002,0.24000000000000002,0.46900681776254816,0.04846398089315837,9.67743072523284
273,0.49,0.245,0.245,0.4774702282114443,0.04823287694643744,9.899269096920642
273,0.5,0.25,0.25,0.48594932604563773,0.047979936669949305,10.12817772954662
273,0.51,0.255,0.255,0.4944448456044362,0.047706519336930195,10.364303505615016
273,0.52,0.26,0.26,0.5029574061406779,0.04741391118762517,10.607802510752322
273,0.53,0.265,0.265,0.5114875199897597,0.047103330229006576,10.858839863402736
273,0.54,0.27,0.27,0.52003560003214,0.04677593069005885,11.117589588498806
273,0.55,0.275,0.275,0.5286019665246704,0.04643280715323617,11.384234530128532
273,0.56,0.28,0.28,0.537186853367914,0.046074998382628775,11.658966298964529
273,0.5700000000000001,0.28500000000000003,0.28500000000000003,0.5457904138692699,0.045703490868953055,11.941985250847262
273,0.5800000000000001,0.29000000000000004,0.29000000000000004,0.5544127260551834,0.04531922211081693,12.233500493444138
273,0.59,0.295,0.295,0.5630537975798621,0.04492308365089193,12.533729918353075
273,0.6,0.3,0.3,0.571713570272707,0.0445159238847012,12.842900256399888
273,0.61,0.305,0.305,0.5803919243620167,0.04409855065875557,13.161247154202844
273,0.62,0.31,0.31,0.5890886824083708,0.043671733673777476,13.489015270352933
273,0.63,0.315,0.315,0.5978036129774229,0.04323620670774696,13.826458389799258
273,0.64,0.32,0.32,0.6065364340785132,0.04279266967254173,14.173839555228833
273,0.65,0.325,0.325,0.6152868163926049,0.04234179051699259,14.531431214409277
273,0.66,0.33,0.33,0.6240543863104074,0.0418842069882772,14.89951538261358
273,0.67,0.335,0.335,0.6328387287992274,0.04142052826271926,15.2783838193782
273,0.68,0.34,0.34,0.6416393901149969,0.04095133645624918,15.668338218961415
