Pressure(bar),Uptake(mmol/g)
1.030303,0.848705
1.000000,0.839378
0.978355,0.811399
0.952381,0.783420
0.922078,0.774093
0.896104,0.755440
0.870130,0.727461
0.844156,0.708808
0.818182,0.699482
0.787879,0.690155
0.766234,0.652850
0.766234,0.643523
0.683983,0.606218
0.658009,0.578238
0.606061,0.531606
0.580087,0.512953
0.549784,0.494301
0.523810,0.475648
0.502165,0.456995
0.476190,0.429016
0.445887,0.410363
